id;isbn;name;publisher_name;publisher_url;publish_year;copies;cover;cover_content_type
1;Table Fish;Dynamic programming;forecast;Agent;compress state mobile;14112;../fake-data/blob/hipster.png;image/png
2;Center;Fish Wyoming;connect Kansas ADP;auxiliary Pula Representative;Optimization calculating Delaware;55808;../fake-data/blob/hipster.png;image/png
3;Games;FTP payment;Generic override;programming cross-platform Consultant;blockchains orchestrate;79161;../fake-data/blob/hipster.png;image/png
4;withdrawal Au;Shoes navigating Ergonomic;Zambian backing;Tools CSS;e-business indigo Account;73421;../fake-data/blob/hipster.png;image/png
5;SQL Product;Home Industrial back-end;compressing Table;Dominica;input;33491;../fake-data/blob/hipster.png;image/png
6;Nebraska Sout;e-tailers functionalities Supervisor;payment Toys Home;solid and;withdrawal Pizza Andorra;20035;../fake-data/blob/hipster.png;image/png
7;Accountabilit;EXE New Branding;optical channels Intelligent;index bus Assistant;withdrawal engineer;68245;../fake-data/blob/hipster.png;image/png
8;compress Conc;SMS;input migration;Quality-focused Synergized;Sahara parsing New;41623;../fake-data/blob/hipster.png;image/png
9;channels comp;target override;fuchsia;Bahamian Avon withdrawal;Tasty orchestrate;30751;../fake-data/blob/hipster.png;image/png
10;Intuitive;Tuna Soft Mountain;California;Unbranded;Licensed;91910;../fake-data/blob/hipster.png;image/png
